feature,mean_abs_shap
n_comorbidities,0.44314316
prior_rth_days_since_last,0.19626258
age_at_obs,0.12650117
los_days,0.09042669
facility_id_enc,0.070412874
prior_days_since_last_fall,0.05841037
vital_pain_mean_30d,0.050573107
vital_glucose_std_30d,0.04972823
vital_o2_mean_30d,0.049650166
vital_pain_std_30d,0.033175353
med_n_unique_drugs_30d,0.0322359
charlson_score,0.030431446
need_wound_active,0.028209267
vital_o2_std_30d,0.027228585
vital_o2_min_7d,0.025585495
vital_pain_max_30d,0.025274651
dx_pressure_ulcer,0.022198813
vital_o2_min_30d,0.0220647
vital_pain_mean_7d,0.02181623
dx_sepsis,0.021392874
vital_pain_max_7d,0.020158786
vital_glucose_std_7d,0.019576022
vital_o2_std_7d,0.01828966
dx_hypertension,0.015101212
med_n_doses_sum_30d,0.014764265
dx_ckd,0.014510555
med_is_refused_sum_30d,0.014229116
vital_pulse_min_30d,0.013945291
dx_malnutrition,0.013889895
vital_pulse_max_30d,0.012169241
vital_bp_sys_mean_7d,0.012074625
vital_bp_sys_min_30d,0.012003266
vital_temp_mean_30d,0.010695495
dx_stroke,0.01032339
dx_pvd,0.009825613
need_fall_active,0.009142549
vital_temp_max_30d,0.009028683
vital_resp_mean_30d,0.008984631
dx_hemi_paraplegia,0.008922317
med_is_psychotropic_mean_30d,0.0085234195
dx_afib,0.0065596374
vital_pulse_std_7d,0.0058840383
adl_walking_value_std_90d,0.005522608
is_outpatient,0.0052191815
vital_pulse_std_30d,0.005191528
vital_bp_sys_mean_30d,0.0050714705
vital_bp_sys_max_30d,0.005069013
vital_glucose_max_7d,0.004064105
dx_liver_mild,0.004064077
dx_osteoporosis,0.0040430385
vital_glucose_max_30d,0.0038574492
tag_total_highrisk_30d,0.0038472272
vital_bp_sys_std_30d,0.0038250326
vital_bp_sys_cv_30d,0.0036320125
vital_pulse_mean_30d,0.0033254165
vital_bp_sys_std_7d,0.0032902714
prior_last_fall_had_injury,0.0032009296
vital_pulse_mean_7d,0.0029622193
adl_transfer_value_mean_90d,0.0027701491
vital_temp_min_30d,0.0027341782
dx_anxiety,0.0027105596
